NAME,PRIORNAME1,FED_RSS_ID,UNINUM,WEBADDR,ZIP,CHARTER_NUMBER
Alliant Credit Union,,,,http://www.alliantcreditunion.org,60666,67955
Ergo Bank,Farmers State Bank,599643,6394,www.ergobank.com,53946,
Woodford State Bank,,93244,6400,www.woodfordstatebank.com,53566,
The Portage County Bank,Portage County Bank,12647,6401,http://www.PORTAGECOUNTYBANK.COM,54909,
Security Bank,Bank of New Auburn,20053,6404,www.securityonlinebank.com,54757,
National Exchange Bank and Trust,National Exchange Bank and Trust of Fond du Lac,722544,6419,https://www.nebat.com,54935,
Isabella Bank,Isabella Bank and Trust,74140,664,www.isabellabank.com,48858,
First Southern Bank,The Patterson Bank,631039,6427,www.fsb-bank.bank,31501,
Bank of Hancock County,Bank of Siloam,37,6429,www.bankofhancock.com,31087,
Planters and Citizens Bank,,132938,6440,http://www.pcbank.net,31730,
Apex Banking Company of Georgia,Wilkinson County Bank,102333,6442,www.apexga.bank,30528,
Peoples State Bank of Colfax,State Bank of Cooksville,33839,6443,http://www.psbofcolfax.com,61728,
Farmers State Bank of Emden,,860231,6444,,62635,
Bank Michigan,OSB Community Bank,382742,667,http://www.bankmichigan.bank,49230,
The Napoleon State Bank,THE NAPOLEON STATE BANK,944047,6459,www.napoleonstatebank.com,47034,
Ohnward Bank & Trust,Baldwin Savings Bank,761543,6465,www.ohnwardbank.bank,52033,
Leighton State Bank,Farmers Savings Bank,936640,6471,www.leightonbank.com,50219,
American Trust and Savings Bank,,675341,6473,www.atsb-lowden.com,52255,
Liberty Trust & Savings Bank,,644646,6474,www.mylibertytrust.com,52747,
Farmers Savings Bank & Trust,Farmers Savings Bank,368344,6475,http://www.fsb-traer.com,50675,
Citizens Savings Bank,,758842,6478,www.citizensbankia.com,52205,
Success Bank,Davis County Savings Bank,179148,6480,www.success.bank,52537,
Exchange State Bank,,805045,6484,www.esb1.com,50010,
The Commercial Bank of Grayson,,812614,6488,cbgrayson.com,41143,
ChoiceOne Bank,Sparta State Bank,324340,672,www.choiceone.bank,49345,
Hart County Bank and Trust Company,Hart County Deposit Bank,456344,6494,,42765,
